"barrio","nac_87","nac_88","nac_89","nac_90","nac_91","nac_92","nac_93","nac_94","nac_95","nac_96","nac_97","nac_98","nac_99","nac_00","nac_01","nac_02","nac_03","nac_04","nac_05","nac_06","nac_07","nac_08","nac_09","nac_10","nac_11","nac_12","nac_13","nac_14","nac_15","nac_16","nac_17"
"Lili","181","152","160","144","168","175","163","171","175","181","167","162","180","152","115","108","121","110","106","100","119","126","113","99","118","99","121","120","109","109","87"
"El Ingenio","109","111","115","115","110","113","132","159","129","122","118","109","94","97","78","62","67","53","71","58","67","57","55","52","55","66","60","52","54","48","56"
"Parcelaciones Pance","97","107","99","120","120","123","147","155","154","176","203","195","184","162","150","181","149","174","136","177","148","133","141","122","126","137","111","114","118","83","86"
"La Hacienda","81","105","110","102","80","103","96","107","100","110","93","109","114","110","78","91","93","92","84","80","99","80","95","87","82","78","64","88","62","63","76"
"Urbanización La Flora","72","84","78","70","58","84","72","75","70","80","73","50","71","58","63","60","71","64","71","57","67","65","50","54","49","69","59","60","41","59","48"
"Caney","68","92","83","96","96","84","91","114","82","86","87","91","82","82","65","65","56","51","57","67","56","57","64","52","78","60","58","55","53","36","48"
"Senderos de La Flora","59","60","70","41","51","54","45","51","44","57","48","46","55","60","68","50","64","60","77","69","83","78","59","73","75","70","90","75","79","62","58"
"Ciudad Capri","55","61","61","68","64","76","60","66","61","57","44","67","42","44","45","32","36","34","34","32","27","28","38","19","33","37","30","26","26","24","21"
"Mayapan - Las Vegas","53","57","55","61","65","58","61","55","68","67","60","59","77","51","46","23","36","44","25","38","38","27","26","34","26","18","24","19","24","22","21"
"Nueva Tequendama","51","51","37","41","53","54","57","58","52","52","50","45","49","33","44","37","33","28","22","30","30","27","24","30","17","26","30","19","25","17","15"
"Las Quintas de Don Simón","49","47","44","59","78","61","74","54","71","62","51","47","41","47","52","43","50","41","32","33","29","23","29","25","29","37","21","34","22","26","18"
"Prados del Norte","49","53","44","44","49","53","48","47","53","53","42","48","47","33","41","43","33","41","43","30","28","29","25","27","28","32","30","27","30","25","17"
"La Flora","47","32","39","52","45","38","44","37","39","43","40","33","41","23","35","32","23","31","25","22","18","24","13","18","19","22","21","23","20","15","15"
"Pampa Linda","44","43","33","47","40","53","37","61","55","56","59","41","50","34","34","20","24","20","18","13","19","17","18","16","17","17","12","17","15","22","13"
"Urbanización Ciudad Jardín","36","53","41","51","56","60","75","53","60","73","63","64","57","53","54","52","44","42","52","51","42","30","42","34","45","40","34","17","26","27","21"
"Santa Isabel","35","36","29","30","39","28","24","37","25","29","16","25","17","20","21","22","21","23","22","31","26","31","28","32","27","30","25","35","28","24","25"
"Urbanización Rio Lili","35","54","46","48","38","31","42","36","44","43","46","24","38","36","25","29","16","28","18","27","21","28","21","26","14","23","19","24","29","21","24"
"Cañaveralejo - Seguros Patria","33","21","35","20","23","28","36","37","25","24","23","23","18","12","16","8","16","11","12","12","11","10","15","4","14","12","12","7","12","7","6"
"Santa Mónica","33","33","54","42","34","44","32","34","29","25","35","16","19","21","11","14","21","7","19","8","14","12","11","11","11","14","14","10","6","15","10"
"Santa Anita - La Selva","32","63","42","43","44","43","62","37","43","39","32","26","32","35","26","18","28","24","30","21","24","24","29","26","22","21","23","16","24","19","19"
"Arboledas","31","25","23","18","27","13","20","29","23","16","21","17","20","34","24","21","21","23","15","29","22","31","21","25","28","29","35","20","32","35","25"
"Cuarto de Legua - Guadalupe","31","29","41","39","40","43","40","33","49","38","37","30","34","21","23","21","20","21","24","10","16","13","12","14","20","15","10","20","21","4","11"
"Unicentro Cali","30","24","22","31","26","30","33","40","35","27","27","40","26","29","26","37","21","22","22","16","29","17","12","26","10","17","16","25","17","10","15"
"El Bosque","29","30","30","32","34","28","23","17","16","28","24","19","27","29","20","17","26","20","22","15","20","12","17","12","20","13","19","23","18","16","12"
"Camino Real - Los Fundadores","25","16","21","16","11","16","15","11","18","13","23","25","13","19","23","17","19","15","15","12","14","11","6","19","9","11","7","7","13","9","4"
"El Gran Limonar","25","17","18","20","26","26","23","20","18","22","14","20","19","10","12","6","8","13","4","13","9","9","4","7","5","9","8","10","8","15","10"
"El Lido","25","23","29","22","25","17","25","28","24","14","18","14","15","16","10","16","10","12","9","7","5","5","2","8","8","2","3","9","6","4","7"
"Urbanización San Joaquin","25","28","33","34","29","42","34","42","49","56","33","38","30","22","33","24","42","26","25","20","25","19","21","17","21","19","18","14","15","11","9"
"Juanambú","24","24","16","7","13","20","11","7","14","19","10","15","15","13","15","14","11","13","9","15","14","6","8","10","6","9","9","9","7","15","7"
"Alto Normandia","23","12","27","7","8","8","6","4","7","6","6","3","6","3","9","8","10","5","6","7","9","7","11","9","8","12","15","11","16","20","13"
"Santa Teresita","23","25","24","17","27","19","28","23","19","14","15","16","16","21","19","12","12","10","10","15","14","11","10","12","14","7","11","12","16","10","12"
"Ciudad Meléndez 1","23","33","22","22","19","16","19","8","13","16","15","9","13","10","13","10","10","14","10","8","11","8","12","9","8","20","8","15","7","18","18"
"El Gran Limonar - Cataya","22","33","30","32","31","34","43","31","31","22","29","11","21","15","14","21","17","5","10","17","15","12","8","14","12","10","13","8","8","9","11"
"Los Portales - Nuevo Rey","20","21","18","19","25","28","22","34","29","30","24","19","29","26","20","22","12","18","17","16","29","16","16","21","12","12","17","13","14","17","8"
"San Fernando Viejo","20","32","23","33","25","20","30","25","28","28","18","18","17","11","11","13","13","10","17","8","3","9","13","8","14","7","13","9","8","12","6"
"La Viga","19","15","27","26","14","25","28","39","30","53","35","33","39","33","27","46","37","40","43","34","29","40","26","33","20","29","21","26","18","14","10"
"Normandia","19","23","32","14","20","19","26","19","25","25","25","13","29","26","26","23","18","24","26","31","27","23","26","28","21","21","24","15","32","17","25"
"Sector Altos de Santa Isabel","19","24","19","17","14","16","21","7","14","19","19","14","9","16","21","15","12","13","9","19","17","15","16","17","22","25","22","30","28","23","19"
"Sector Cañaveralejo Guadalupe","18","18","24","19","16","20","35","30","39","36","36","18","32","29","32","40","37","32","34","28","24","29","25","35","23","25","21","21","16","13","14"
"Granada","15","9","12","13","11","8","5","12","12","8","7","9","9","8","2","6","5","4","5","6","10","3","5","7","4","5","5","2","5","7","1"
"San Fernando Nuevo","15","11","15","18","15","20","10","13","18","12","12","14","10","6","10","5","8","7","4","7","5","4","4","6","2","5","4","6","4","4","3"
"Centenario","15","12","11","10","16","10","13","17","7","8","6","16","7","7","10","6","12","5","6","7","6","7","8","4","2","4","5","1","7","6","5"
"La Cascada","14","6","14","15","13","13","11","18","13","10","7","8","18","6","13","11","6","11","11","10","5","10","4","7","7","7","8","4","5","5","3"
"Urbanización Nueva Granada","14","7","8","13","17","8","13","16","13","14","8","12","9","5","7","8","4","9","3","6","3","3","5","3","10","4","7","4","6","6","6"
